group kingdom phylum class order family genus species
ASV00165 Fungi Ascomycota Sordariomycetes Glomerellales Plectosphaerellaceae Plectosphaerella Plectosphaerella_cucumerina
ASV00166 Fungi Ascomycota Sordariomycetes Hypocreales Stachybotryaceae unclassified unclassified
ASV00167 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00168 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00169 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Knufia unclassified
ASV00170 Fungi Ascomycota Sordariomycetes Glomerellales Plectosphaerellaceae Plectosphaerella unclassified
ASV00171 Fungi Ascomycota Dothideomycetes Pleosporales Thyridariaceae unclassified unclassified
ASV00172 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00173 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae unclassified unclassified
ASV00174 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00175 Fungi Ascomycota Dothideomycetes Pleosporales Biatriosporaceae Biatriospora Biatriospora_mackinnonii
ASV00176 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Cylindrocarpon Cylindrocarpon_sp
ASV00177 Fungi Ascomycota unclassified unclassified unclassified unclassified unclassified
ASV00178 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_alpina
ASV00179 Fungi Basidiomycota Tremellomycetes Cystofilobasidiales Cystofilobasidiaceae Guehomyces Guehomyces_pullulans
ASV00180 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Tetracladium Tetracladium_sp
ASV00181 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Knufia Knufia_tsunedae
ASV00182 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00183 Fungi Ascomycota Sordariomycetes Sordariales Chaetomiaceae Chaetomium Chaetomium_acropullum
ASV00184 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00185 Fungi Mortierellomycota unclassified unclassified unclassified unclassified unclassified
ASV00186 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Glarea Glarea_sp
ASV00187 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae unclassified unclassified
ASV00188 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Fusarium unclassified
ASV00189 Fungi Ascomycota Eurotiomycetes Chaetothyriales unclassified_Chaetothyriales unclassified_Chaetothyriales Chaetothyriales_sp
ASV00190 Fungi Ascomycota Sordariomycetes Sordariales Lasiosphaeriaceae Schizothecium unclassified
ASV00191 Fungi Ascomycota Sordariomycetes Hypocreales Bionectriaceae Clonostachys Clonostachys_intermedia
ASV00192 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Volutella Volutella_sp
ASV00193 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00194 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00195 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Knufia Knufia_tsunedae
ASV00196 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Paraboeremia Paraboeremia_selaginellae
ASV00197 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Didymella Didymella_bellidis
ASV00198 Fungi Basidiomycota unclassified unclassified unclassified unclassified unclassified
ASV00199 Fungi Basidiomycota Agaricomycetes Agaricales Entolomataceae Entoloma Entoloma_graphitipes_f._cystidiatum
ASV00200 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00201 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00202 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00203 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae Olpidium Olpidium_brassicae
ASV00204 Fungi Ascomycota Leotiomycetes Helotiales Rutstroemiaceae unclassified_Rutstroemiaceae Rutstroemiaceae_sp
ASV00205 Fungi Ascomycota Dothideomycetes Pleosporales Lophiotremataceae Lophiotrema Lophiotrema_rubi
ASV00206 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae unclassified unclassified
ASV00207 Fungi Ascomycota Sordariomycetes Glomerellales Plectosphaerellaceae unclassified unclassified
ASV00208 Fungi Ascomycota Eurotiomycetes Chaetothyriales unclassified unclassified unclassified
ASV00209 Fungi Ascomycota Sordariomycetes Hypocreales Hypocreales_fam_Incertae_sedis Acremonium Acremonium_furcatum
ASV00210 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Bradymyces Bradymyces_sp
ASV00211 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Funneliformis unclassified
ASV00212 Fungi Ascomycota Dothideomycetes Dothideales Aureobasidiaceae Kabatiella Kabatiella_sp
ASV00213 Fungi Ascomycota Dothideomycetes Pleosporales unclassified unclassified unclassified
ASV00214 Fungi Basidiomycota Tremellomycetes Holtermanniales Holtermanniales_fam_Incertae_sedis Holtermanniella Holtermanniella_takashimae
ASV00215 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00216 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_exigua
ASV00217 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Bradymyces Bradymyces_sp
ASV00218 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Dominikia Dominikia_achra
ASV00219 Fungi Ascomycota Eurotiomycetes Chaetothyriales Trichomeriaceae Knufia unclassified
ASV00220 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae unclassified_Helotiaceae Helotiaceae_sp
ASV00221 Fungi Ascomycota Sordariomycetes Glomerellales Plectosphaerellaceae Verticillium unclassified
ASV00222 Fungi Ascomycota Sordariomycetes Hypocreales unclassified_Hypocreales unclassified_Hypocreales Hypocreales_sp
ASV00223 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00224 Fungi Ascomycota Leotiomycetes Helotiales unclassified_Helotiales unclassified_Helotiales Helotiales_sp
ASV00225 Fungi Ascomycota Dothideomycetes unclassified unclassified unclassified unclassified
ASV00226 Fungi Ascomycota Dothideomycetes Pleosporales Phaeosphaeriaceae Ophiosphaerella Ophiosphaerella_sp
ASV00227 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Funneliformis Funneliformis_mosseae
ASV00228 Fungi Ascomycota Sordariomycetes Microascales unclassified_Microascales unclassified_Microascales Microascales_sp
ASV00229 Fungi Ascomycota Sordariomycetes Hypocreales unclassified unclassified unclassified
ASV00230 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae Rhizophagus Rhizophagus_sp
ASV00231 Fungi Ascomycota Eurotiomycetes Chaetothyriales unclassified unclassified unclassified
ASV00232 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae unclassified_Ceratobasidiaceae Ceratobasidiaceae_sp
ASV00233 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella unclassified
ASV00234 Fungi Ascomycota Sordariomycetes Hypocreales Hypocreales_fam_Incertae_sedis Acremonium unclassified
ASV00235 Fungi Ascomycota Leotiomycetes Helotiales unclassified unclassified unclassified
ASV00236 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00237 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Cistella Cistella_sp
ASV00238 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae Thanatephorus Thanatephorus_cucumeris
ASV00239 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae unclassified unclassified
ASV00240 Fungi Ascomycota Dothideomycetes Pleosporales unclassified unclassified unclassified
ASV00241 Fungi unclassified unclassified unclassified unclassified unclassified unclassified
ASV00242 Fungi Rozellomycota unclassified unclassified unclassified unclassified unclassified
ASV00243 Fungi Ascomycota Dothideomycetes Pleosporales Lentitheciaceae Darksidea unclassified
ASV00244 Fungi Basidiomycota Agaricomycetes Agaricales Entolomataceae Entoloma Entoloma_graphitipes_f._cystidiatum
ASV00245 Fungi Basidiomycota Agaricomycetes Russulales Peniophoraceae Subulicystidium Subulicystidium_perlongisporum
ASV00246 Fungi Basidiomycota unclassified unclassified unclassified unclassified unclassified
