"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"FU02405";"Fungi";"Basidiomycota";"Cystobasidiomycetes";"Cystobasidiomycetes_ord_Incertae_sedis";"Buckleyzymaceae";"Buckleyzyma";"Buckleyzyma_aurantiaca"
"FU02406";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02407";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU02408";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Zopfiella";"Zopfiella_sp"
"FU02409";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Glarea";"Glarea_sp"
"FU02410";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU02411";"Fungi";"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Antrodia";"Antrodia_sp"
"FU02412";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02413";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";"Harposporium";"Harposporium_sp"
"FU02414";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Phaeosphaeria";"Phaeosphaeria_sp"
"FU02415";"Fungi";"Basidiomycota";"Agaricomycetes";"Polyporales";"Xenasmataceae";"Xenasmatella";"Xenasmatella_sp"
"FU02416";"Fungi";"Basidiomycota";"Tremellomycetes";"Tremellales";"unclassified_Tremellales";"unclassified_Tremellales";"unclassified_Tremellales"
"FU02417";"Fungi";"Ascomycota";"Lecanoromycetes";"Caliciales";"Caliciaceae";"Amandinea";"Amandinea_punctata"
"FU02418";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU02419";"Fungi";"Basidiomycota";"Agaricomycetes";"Polyporales";"Meruliaceae";"Ceraceomyces";"Ceraceomyces_sp"
"FU02420";"Fungi";"Basidiomycota";"Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes"
"FU02421";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Metacordyceps";"Metacordyceps_sp"
"FU02422";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Rhinocladiella";"Rhinocladiella_sp"
"FU02423";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Coniosporium";"unclassified"
"FU02424";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU02425";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Entolomataceae";"Entoloma";"unclassified"
"FU02426";"Fungi";"Ascomycota";"Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes"
"FU02427";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Entolomataceae";"Entoloma";"Entoloma_graphitipes_f._cystidiatum"
"FU02428";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Cortinariaceae";"Cortinarius";"Cortinarius_anomalus"
"FU02429";"Fungi";"Basidiomycota";"Tremellomycetes";"Tremellales";"Trimorphomycetaceae";"Saitozyma";"Saitozyma_sp"
"FU02430";"Fungi";"Basidiomycota";"Agaricomycetes";"Russulales";"Russulaceae";"Lactarius";"unclassified"
