group;kingdom;phylum;class;order;family;genus;species
ASV00704;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00705;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00706;Fungi(95);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00707;Fungi(100);Ascomycota(100);Dothideomycetes(97);Pleosporales(97);Didymosphaeriaceae(97);Pseudopithomyces(95);Pseudopithomyces_chartarum(87)
ASV00708;Fungi(100);Ascomycota(100);Sordariomycetes(100);Sordariales(100);Lasiosphaeriaceae(100);Schizothecium(93);Schizothecium_carpinicola(79)
ASV00709;Fungi(100);Basidiomycota(100);Tremellomycetes(100);Filobasidiales(100);Filobasidiaceae(100);Naganishia(100);unclassified
ASV00710;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Lentitheciaceae(90);unclassified;unclassified
ASV00711;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00712;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(96);unclassified;unclassified;unclassified
ASV00713;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Cucurbitariaceae(100);Pyrenochaetopsis(100);Pyrenochaetopsis_leptospora(100)
ASV00714;Fungi(100);Glomeromycota(96);Glomeromycetes(96);Glomerales(96);Glomeraceae(96);Glomus(96);Glomus_macrocarpum(96)
ASV00715;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00716;Fungi(100);Ascomycota(100);Eurotiomycetes(98);Chaetothyriales(98);Herpotrichiellaceae(90);Rhinocladiella(89);Rhinocladiella_sp(89)
ASV00717;Fungi(100);Ascomycota(100);Eurotiomycetes(99);Chaetothyriales(99);Trichomeriaceae(98);Knufia(98);Knufia_peltigerae(86)
ASV00718;Fungi(100);Ascomycota(99);Eurotiomycetes(94);Chaetothyriales(94);Cyphellophoraceae(84);Cyphellophora(84);Cyphellophora_pauciseptata(71)
ASV00719;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);unclassified;unclassified;unclassified
ASV00720;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Sebacinales(100);Sebacinaceae(100);Chaetospermum(100);Chaetospermum_chaetosporum(100)
ASV00721;Fungi(100);Ascomycota(100);Sordariomycetes(100);Xylariales(100);Microdochiaceae(99);Microdochium(99);Microdochium_sp(97)
ASV00722;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00723;Fungi(100);Ascomycota(100);Eurotiomycetes(98);Chaetothyriales(98);unclassified;unclassified;unclassified
ASV00724;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Helotiaceae(100);Tetracladium(100);Tetracladium_marchalianum(91)
ASV00725;Fungi(100);Basidiomycota(72);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00726;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
